codigo;codigo_cliente
10000003;10042
10010128;10042
10010137;10042
10010150;10042
10010151;10042
10010152;10042
10010165;10042
10010168;10042
10010173;10042
10011030;10042
10041006;10042
10120120;10042
10160050;10042
10160140;10042
10222056;10042
10230008;10042
10230071;10042
10230922;10042
10450077;10042
10450079;10042
10450080;10042
10450082;10042
10450141;10042
10450169;10042
10866240;10042
29000517;10042
29000520;10042
29000522;10042
29000543;10042
29000549;10042
10000003;10081
10010150;10081
10010151;10081
10010152;10081
10010165;10081
10011030;10081
10011043;10081
10011045;10081
10041004;10081
10041005;10081
10080040;10081
10080041;10081
10080112;10081
10080270;10081
10080280;10081
10120120;10081
10120217;10081
10160141;10081
10182003;10081
10182005;10081
10222055;10081
10222056;10081
10230008;10081
10230009;10081
10230016;10081
10230020;10081
10230043;10081
10230044;10081
10230071;10081
10230924;10081
10250021;10081
10278681;10081
10320001;10081
10450049;10081
10450073;10081
10450077;10081
10450216;10081
10450224;10081
10450237;10081
10450258;10081
10450366;10081
10450368;10081
10450437;10081
10451161;10081
10866220;10081
10866233;10081
10866240;10081
12430500;10081
12470640;10081
13220059;10081
13320126;10081
13620855;10081
13621230;10081
13850004;10081
13850024;10081
19000031;10081
19000032;10081
29000517;10081
29000549;10081
29000558;10081
10000003;10099
10011030;10099
1080040;10099
10080270;10099
10160050;10099
10160051;10099
10222056;10099
10230008;10099
10230009;10099
10230071;10099
10230924;10099
10270118;10099
13621230;10099
14040156;10099
29000492;10099
29000515;10099
29000516;10099
29000520;10099
29000522;10099
29000524;10099
29000526;10099
29000527;10099
29000528;10099
10000003;10104
10011030;10104
10041003;10104
10041006;10104
10080040;10104
10080041;10104
10120120;10104
10160141;10104
10182003;10104
10200128;10104
10200129;10104
10222056;10104
10230001;10104
10230009;10104
10230016;10104
10230040;10104
10230051;10104
10230924;10104
10231080;10104
10250025;10104
10250040;10104
10250330;10104
10251334;10104
10270219;10104
10270220;10104
10274041;10104
10274050;10104
10404004;10104
10450233;10104
10450237;10104
12430500;10104
13621230;10104
10310290;10104
19000527;10104
10000003;10108
10041004;10108
10041006;10108
10041222;10108
10050101;10108
10080040;10108
10080041;10108
10080270;10108
10080280;10108
10160141;10108
10182004;10108
10182005;10108
10274041;10108
10274044;10108
10274050;10108
10450073;10108
29000522;10108
29000538;10108
29000541;10108
29000549;10108
10010064;10139
10010150;10139
10010151;10139
10010152;10139
10010160;10139
10010164;10139
10010165;10139
10010167;10139
10080035;10139
10080108;10139
10080270;10139
10110223;10139
10120120;10139
10160050;10139
10160140;10139
10182003;10139
10222056;10139
10230009;10139
10230016;10139
10230071;10139
10230922;10139
10274041;10139
10274043;10139
10274044;10139
10274045;10139
10274047;10139
10274050;10139
10274052;10139
10320001;10139
10404004;10139
10450099;10139
10450159;10139
10450170;10139
10450437;10139
10860012;10139
10860027;10139
10866220;10139
10866233;10139
13850001;10139
19000031;10139
29000521;10139
10011030;10141
10160140;10141
10230005;10141
10230044;10141
10230051;10141
10230071;10141
10235030;10141
10450437;10141
10680215;10141
12150023;10141
12431000;10141
29000520;10141
29000522;10141
29000526;10141
29000530;10141
29000538;10141
10000003;10177
10000100;10177
10010150;10177
10010152;10177
10010155;10177
10010156;10177
10010158;10177
10010174;10177
10011030;10177
10011043;10177
10041006;10177
10080033;10177
10080040;10177
